bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
0,1.7288468E-4,0.0,0.0,0.00123
1,5.186526E-4,0.0,0.0,0.00369
2,1.7288468E-4,0.0,0.0,0.00123
3,1.7288468E-4,0.0,0.0,0.00123
4,5.186526E-4,0.0,0.0,0.00369
5,1.7288468E-4,0.0,0.0,0.00123
6,5.186526E-4,0.0,0.0,0.00369
7,6.915358E-4,0.0,1.07,0.00492
8,3.4576887E-4,0.0,1.048,0.00246
9,3.4576887E-4,0.0,1.113,0.00246
10,1.7288468E-4,0.0,1.062,0.00123
11,1.7288468E-4,0.0,1.028,0.00123
12,1.7288468E-4,0.0,0.961,0.00123
13,0.0,0.0,1.046,0.0
14,6.915358E-4,0.0,1.004,0.00492
15,0.0027661817,0.0,1.049,0.0197
16,0.003457729,0.0,1.035,0.0246
17,0.0031119988,0.0,1.078,0.0221
18,0.0025933147,0.0,1.049,0.0185
19,0.027319305,1.078,0.0,0.194
20,0.021267002,1.051,0.0,0.151
21,0.01780841,1.103,0.0,0.127
22,0.016079543,1.047,0.0,0.114
23,0.0032848534,1.032,0.0,0.0234
24,0.0020746584,1.001,0.0,0.0148
25,0.0022475163,1.063,0.0,0.016
26,0.003111946,1.002,0.0,0.0221
27,0.0024204475,1.055,0.0,0.0172
28,0.0019017473,1.022,0.0,0.0135
29,0.0024203947,1.071,0.0,0.0172
30,0.0024204159,1.022,0.0,0.0172
31,1.7288468E-4,0.0,0.0,0.00123
32,1.7288468E-4,0.0,0.0,0.00123
33,0.0,0.0,0.0,0.0
34,1.7288468E-4,0.0,0.0,0.00123
35,1.7288468E-4,0.0,0.0,0.00123
36,3.4576887E-4,0.0,0.0,0.00246
37,1.7288468E-4,0.0,0.0,0.00123
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,3.4576887E-4,0.0,0.0,0.00246
41,5.186526E-4,0.0,0.0,0.00369
42,1.7288468E-4,0.0,0.0,0.00123
43,0.0,0.0,0.0,0.0
44,1.7288468E-4,0.0,0.0,0.00123
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,1.7288468E-4,0.0,0.0,0.00123
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,3.4576887E-4,0.0,0.0,0.00246
53,1.7288468E-4,0.0,0.0,0.00123
54,3.4576887E-4,0.0,0.0,0.00246
55,0.0,0.0,0.0,0.0
56,3.4576887E-4,0.0,0.0,0.00246
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,1.7288468E-4,0.0,0.0,0.00123
62,7.0410304,1.105,1.075,50.1
63,7.6631966,1.118,1.073,54.5
64,7.565731,1.138,1.069,53.8
65,7.791499,1.143,1.07,55.4
66,7.592342,1.122,1.082,54.0
67,7.573082,1.133,1.076,53.9
68,7.3483863,1.113,1.078,52.3
69,7.5214496,1.147,1.081,53.5
70,7.331106,1.121,1.098,52.2
71,7.555208,1.156,1.112,53.8
72,6.6306286,1.074,1.056,47.2
73,6.8632555,1.103,1.089,48.8
74,6.4301233,1.063,1.056,45.8
75,6.818735,1.102,1.099,48.5
76,6.2279725,1.068,1.046,44.3
77,6.2525816,1.068,1.058,44.5
78,6.035628,1.052,1.052,43.0
79,6.097241,1.065,1.07,43.4
80,5.7664123,1.048,1.029,41.0
81,5.8542066,1.054,1.04,41.7
82,5.9905086,1.071,1.068,42.6
83,6.0132217,1.084,1.084,42.8
84,5.5458736,1.044,1.038,39.5
85,6.0153027,1.077,1.069,42.8
86,5.339448,1.015,1.053,38.0
87,5.586624,1.056,1.075,39.8
88,4.9309325,0.994,1.015,35.1
89,5.404246,1.046,1.045,38.5
90,5.175117,1.022,1.049,36.8
91,5.6490254,1.064,1.09,40.2
92,5.1475816,1.006,1.042,36.6
